pff_DEFTEAM,PLAYS,SHOWN_NOT_PLAYED,SHOWN_NOT_PLAYED_RATE,SHOWN_NOT_PLAYED_EP,SHOWN_NOT_PLAYED_EPA,SHOWN_NOT_PLAYED_PBU,SHOWN_NOT_PLAYED_PBU_RATE,SHOWN_NOT_PLAYED_INTS,SHOWN_NOT_PLAYED_INT_RATE,SHOWN_PLAYED,SHOWN_PLAYED_RATE,SHOWN_PLAYED_EP,SHOWN_PLAYED_EPA,SHOWN_PLAYED_PBU,SHOWN_PLAYED_PBU_RATE,SHOWN_PLAYED_INTS,SHOWN_PLAYED_INT_RATE
ARZ,1287,312,24.24%,0.44917,0.008236,16,1.24%,3,0.23%,975,75.76%,2.074818,-0.016616,28,2.18%,10,0.78%
ATL,1304,252,19.33%,0.353271,0.006798,11,0.84%,4,0.31%,1052,80.67%,2.006734,0.034205,39,2.99%,12,0.92%
BLT,1343,376,28.00%,0.517501,-0.007093,10,0.74%,4,0.30%,967,72.00%,1.82609,-0.028367,29,2.16%,16,1.19%
BUF,1386,497,35.86%,0.681662,-0.022395,23,1.66%,8,0.58%,889,64.14%,1.608288,-0.04541,33,2.38%,12,0.87%
CAR,1329,209,15.73%,0.304155,-0.00483,11,0.83%,4,0.30%,1120,84.27%,1.92465,-0.015477,32,2.41%,10,0.75%
CHI,1289,343,26.61%,0.494077,0.007873,9,0.70%,4,0.31%,946,73.39%,1.77188,0.052775,27,2.09%,13,1.01%
CIN,1418,307,21.65%,0.404601,-0.0236,11,0.78%,3,0.21%,1111,78.35%,1.922143,-0.021052,46,3.24%,13,0.92%
CLV,1272,336,26.42%,0.484591,-0.033927,15,1.18%,6,0.47%,936,73.58%,1.895434,0.021776,34,2.67%,7,0.55%
DAL,1494,350,23.43%,0.38869,-0.055129,10,0.67%,14,0.94%,1144,76.57%,1.870381,-0.05408,37,2.48%,11,0.74%
DEN,1324,614,46.37%,0.991658,-0.042234,19,1.44%,9,0.68%,710,53.63%,1.27536,-0.003934,24,1.81%,7,0.53%
DET,1288,321,24.92%,0.471665,0.012224,13,1.01%,1,0.08%,967,75.08%,1.877933,0.072726,29,2.25%,14,1.09%
GB,1188,289,24.33%,0.47989,-0.017338,11,0.93%,5,0.42%,899,75.67%,1.903691,0.011601,26,2.19%,13,1.09%
HST,1358,219,16.13%,0.292138,0.000307,7,0.52%,4,0.29%,1139,83.87%,1.894576,-0.015229,35,2.58%,16,1.18%
IND,1317,296,22.48%,0.440158,-0.011208,8,0.61%,5,0.38%,1021,77.52%,1.916155,-0.018645,31,2.35%,10,0.76%
JAX,1528,354,23.17%,0.43846,-0.006727,12,0.79%,8,0.52%,1174,76.83%,1.846428,-0.014568,48,3.14%,10,0.65%
KC,1528,307,20.09%,0.396916,-0.014951,18,1.18%,2,0.13%,1221,79.91%,1.84595,-0.001581,39,2.55%,17,1.11%
LA,1262,521,41.28%,0.841688,-0.003538,21,1.66%,11,0.87%,741,58.72%,1.59998,0.023938,26,2.06%,7,0.55%
LAC,1287,376,29.22%,0.598253,0.00486,14,1.09%,6,0.47%,911,70.78%,1.723739,0.020072,36,2.80%,15,1.17%
LV,1335,345,25.84%,0.512483,0.026784,7,0.52%,2,0.15%,990,74.16%,1.830416,0.002776,32,2.40%,8,0.60%
MIA,1382,218,15.77%,0.232222,-0.019643,13,0.94%,3,0.22%,1164,84.23%,2.047947,0.004333,44,3.18%,10,0.72%
MIN,1426,427,29.94%,0.677174,-0.019924,19,1.33%,3,0.21%,999,70.06%,1.680349,0.030359,39,2.73%,13,0.91%
NE,1316,373,28.34%,0.567216,-0.038702,14,1.06%,6,0.46%,943,71.66%,1.665852,-0.081882,35,2.66%,15,1.14%
NO,1287,278,21.60%,0.410351,0.027703,11,0.85%,3,0.23%,1009,78.40%,1.706234,-0.069714,42,3.26%,8,0.62%
NYG,1436,229,15.95%,0.331319,0.004167,13,0.91%,1,0.07%,1207,84.05%,2.156504,0.042713,37,2.58%,10,0.70%
NYJ,1322,234,17.70%,0.323351,-0.005806,8,0.61%,4,0.30%,1088,82.30%,1.954975,-0.071495,49,3.71%,11,0.83%
PHI,1440,345,23.96%,0.465295,-0.023517,12,0.83%,5,0.35%,1095,76.04%,1.753338,-0.027669,51,3.54%,15,1.04%
PIT,1263,369,29.22%,0.566844,-0.026581,21,1.66%,9,0.71%,894,70.78%,1.76622,0.002199,30,2.38%,14,1.11%
SEA,1413,248,17.55%,0.367916,0.010106,13,0.92%,2,0.14%,1165,82.45%,1.976508,0.01738,48,3.40%,14,0.99%
SF,1439,282,19.60%,0.325529,0.000829,9,0.63%,8,0.56%,1157,80.40%,1.754209,-0.108077,40,2.78%,23,1.60%
TB,1334,351,26.31%,0.448128,-0.010789,12,0.90%,5,0.37%,983,73.69%,1.732003,-0.042727,36,2.70%,8,0.60%
TEN,1351,395,29.24%,0.516245,-0.011212,8,0.59%,3,0.22%,956,70.76%,1.619333,-0.012102,33,2.44%,13,0.96%
WAS,1200,309,25.75%,0.455333,-0.019667,14,1.17%,7,0.58%,891,74.25%,1.696972,-0.028543,37,3.08%,5,0.42%
