pff_OFFTEAM,On_Schedule_Count,On_Schedule_Percentage
BUF,1700,34.82%
KC,1848,34.58%
CIN,1829,32.53%
GB,1561,32.35%
PHI,1938,32.15%
SF,1804,31.98%
ATL,1535,31.92%
NO,1558,31.77%
BLT,1616,31.62%
NYG,1832,30.90%
DAL,1830,30.66%
PIT,1640,30.61%
MIA,1609,30.52%
LV,1676,30.07%
JAX,1859,29.96%
WAS,1696,29.95%
SEA,1714,29.93%
TB,1802,29.91%
MIN,1746,29.67%
DET,1666,29.29%
CLV,1670,28.86%
ARZ,1712,28.27%
LA,1503,27.94%
IND,1625,27.69%
LAC,1775,27.32%
NE,1552,27.13%
TEN,1544,26.81%
NYJ,1613,26.16%
CAR,1522,25.82%
CHI,1524,25.66%
DEN,1654,25.63%
HST,1544,25.58%
