pff_OFFTEAM,On_Schedule_Count,On_Schedule_Percentage
GB,446,61.21%
KC,527,61.10%
BUF,473,58.99%
PHI,527,57.12%
NYG,515,56.70%
PIT,454,56.39%
ATL,431,56.15%
CIN,516,55.62%
DAL,511,55.58%
SF,494,55.47%
TB,503,55.27%
BLT,445,54.61%
WAS,486,54.53%
NO,435,54.25%
ARZ,487,53.80%
LV,461,53.15%
IND,457,52.30%
MIN,459,52.29%
MIA,425,51.76%
SEA,460,51.74%
JAX,520,51.54%
CAR,420,51.19%
LAC,484,50.83%
DET,461,50.54%
LA,419,50.12%
NE,421,49.41%
CLV,453,49.01%
NYJ,435,48.28%
TEN,417,47.72%
HST,412,46.60%
DEN,459,46.41%
CHI,403,46.40%
